UF,RJ
Cidade,BOM JARDIM
Nome Posto,BOM JARDIM
Latitude,-22.15694444444444
Longitude,-42.41638888888889
Codigo,2242021
Qtd. Anos,80
Ano,Maxima
1941,51.2
1942,57.2
1943,59.2
1944,68.1
1945,108.3
1946,96.8
1947,118.2
1948,83.6
1949,106
1950,81.7
1951,56.3
1952,120
1953,89
1954,59.2
1955,47.5
1956,88.5
1957,70
1958,88.5
1959,55.5
1960,66
1961,70
1962,79.3
1963,81
1964,97.2
1965,85
1966,103.6
1967,80
1968,98.6
1969,90.2
1970,79
1971,77
1972,88.4
1973,87
1974,80
1975,49.3
1976,66.2
1977,72
1978,48.8
1979,126.2
1980,168.3
1981,83.8
1982,65.6
1983,75.6
1984,59.2
1985,75.3
1986,48.3
1987,45.3
1988,47
1989,95
1990,72
1991,113
1992,97
1993,74
1994,74.3
1995,44.1
1996,80.4
1997,106.6
1998,83.5
1999,65
2000,53.9
2001,82.2
2002,66.5
2003,72.2
2004,64.9
2005,105.5
2006,85.4
2007,65.2
2008,55.3
2009,76.5
2010,66.7
2011,49
2012,80.5
2013,105.1
2014,43.9
2015,86.8
2016,81.1
2017,46.4
2018,49.9
2019,44.1
2020,44.4
