UF,RJ
Cidade,BOM JARDIM
Nome Posto,BARRA ALEGRE
Latitude,-22.235555555555557
Longitude,-42.28583333333333
Codigo,2242018
Qtd. Anos,56
Ano,Maxima
1965,28
1966,117.2
1967,68.6
1968,50.8
1969,76
1970,59.4
1971,77.4
1972,73
1973,83.8
1974,32.6
1975,52.4
1976,32.8
1977,32.4
1978,62.2
1979,68.4
1980,110.8
1981,91
1982,78.3
1983,60.1
1984,59.6
1985,89.4
1986,94.2
1987,87.8
1988,90.5
1989,126.2
1990,84.5
1991,56
1992,68.2
1993,46
1994,132
1995,86
1996,123.5
1997,126.6
1998,78.7
1999,51.5
2000,91.5
2001,96.9
2002,83.6
2003,61.2
2004,88.3
2005,94.3
2006,60.4
2007,94.7
2008,45.6
2009,131.2
2010,75.1
2011,158.9
2012,113.4
2013,82.3
2014,61.2
2015,56.9
2016,149.4
2017,78.4
2018,84.9
2019,71.7
2020,82.2
