UF,RJ
Cidade,PETROPOLIS
Nome Posto,ITAMARATI - SE
Latitude,-22.485277777777778
Longitude,-43.149166666666666
Codigo,2243010
Qtd. Anos,83
Ano,Maxima
1938,53.7
1939,99.6
1940,47.4
1941,63.1
1942,69.7
1943,134.4
1944,62.4
1945,157.1
1946,79.6
1947,103.4
1948,98.2
1949,71.2
1950,85.4
1951,89.6
1952,98.5
1953,59.1
1954,45
1955,73
1956,95.6
1957,117.4
1958,136.8
1959,90.8
1960,80.3
1961,88
1962,113.4
1963,44.4
1964,105.2
1965,132.6
1966,187.6
1967,63
1968,70
1969,83
1970,112
1971,69.2
1972,61.8
1973,91.8
1974,59.3
1975,78.8
1976,56.4
1977,135
1978,65.5
1979,93.6
1980,75
1981,160
1982,91.3
1983,123
1984,55.2
1985,60
1986,46.5
1987,111.5
1988,103.5
1989,73.2
1990,82
1991,117
1992,117.6
1993,73
1994,106
1995,88
1996,130.7
1997,86.4
1998,119.3
1999,66
2000,120.4
2001,91
2002,90
2003,86.2
2004,90
2005,90
2006,66.8
2007,62.6
2008,64.2
2009,65.8
2010,70.2
2011,85.6
2012,80.9
2013,80.4
2014,68.1
2015,198
2016,128
2017,68
2018,86.2
2019,93
2020,86
