UF,RJ
Cidade,NOVA FRIBURGO
Nome Posto,FAZENDA SAO JOAO
Latitude,-22.390277777777776
Longitude,-42.49472222222222
Codigo,2242005
Qtd. Anos,54
Ano,Maxima
1967,134.6
1968,90.4
1969,108.2
1970,86.6
1971,122.2
1972,101.8
1973,110
1974,131.3
1975,360
1976,128
1977,143.6
1978,125
1979,112
1980,100
1981,141.4
1982,119
1983,107
1984,78
1985,140
1986,165
1987,70
1988,120
1989,112.4
1990,89
1991,96.7
1992,195
1993,176.8
1994,147.5
1995,81.3
1996,120.2
1997,80.3
1998,85.3
1999,61.8
2000,82.9
2001,76.6
2002,72.9
2003,120.2
2004,148.5
2005,99
2006,83.5
2007,115.9
2008,71.7
2009,222
2010,102
2011,108.7
2012,131.6
2013,152.5
2014,57.4
2015,92
2016,176.2
2017,105.7
2018,121.6
2019,130.5
2020,69.7
