UF,RJ
Cidade,ANGRA DOS REIS
Nome Posto,VILA MAMBUCABA
Latitude,-23.02583333333333
Longitude,-44.518055555555556
Codigo,2344016
Qtd. Anos,39
Ano,Maxima
1982,79
1983,85
1984,107
1985,209.4
1986,194
1987,181.2
1988,375.2
1989,109
1990,92.1
1991,170.5
1992,139.5
1993,150.2
1994,195.2
1995,167.3
1996,160.2
1997,238.9
1998,107.8
1999,96.3
2000,136.1
2001,85
2002,175.5
2003,216
2004,104.5
2005,115.7
2006,98.2
2007,177.3
2008,115.1
2009,216.5
2010,196.5
2011,177.8
2012,76
2013,318.9
2014,67.5
2015,122.6
2016,124.3
2017,194.5
2018,134.3
2019,111.8
2020,40.4
