UF,RJ
Cidade,RESENDE
Nome Posto,RESENDE
Latitude,-22.483333333333334
Longitude,-44.445277777777775
Codigo,2244092
Qtd. Anos,75
Ano,Maxima
1911,90
1925,65.1
1926,140
1927,111
1928,108
1929,87.2
1930,95.2
1931,117
1932,79.7
1933,58
1934,53.7
1935,71.6
1936,79.7
1937,69.2
1938,75
1939,103.1
1940,56
1941,63.2
1942,122.6
1943,96.8
1944,62.8
1945,74.2
1946,89.5
1947,104.4
1948,125.4
1949,92.5
1950,162.7
1951,70.8
1952,96.9
1953,77.5
1954,62
1955,52
1956,102.2
1957,85.6
1958,63.9
1959,89.4
1960,59.5
1961,94.2
1962,129
1963,71.5
1964,61.3
1965,67.5
1966,85.1
1967,106.5
1968,116.4
1969,85.3
1970,39.1
1971,69.8
1972,95.6
1973,98.1
1974,121.4
1975,226.6
1976,72.3
1977,63.2
1978,74.4
1979,178
1980,45
1981,95.6
1982,109.7
1983,146.8
1984,118.8
1985,133.6
1986,76.6
1987,141
1988,112.6
1989,92.2
1990,44.5
1991,73
1992,88.6
1993,91.4
1994,77
1995,112
1996,81.2
1997,105
1998,44.5
