UF,RJ
Cidade,TERESOPOLIS
Nome Posto,FAZENDA SOBRADINHO
Latitude,-22.20111111111111
Longitude,-42.9
Codigo,2242027
Qtd. Anos,84
Ano,Maxima
1936,33.9
1937,135.6
1938,84.4
1939,50.2
1940,121.2
1941,66
1942,84.4
1943,57.2
1944,82.2
1945,62.1
1946,75.4
1947,94.2
1948,97.4
1949,61.2
1950,65
1951,52.9
1952,106.4
1953,66.9
1954,46
1955,60.4
1956,92.2
1957,51.2
1958,82
1959,99.2
1960,60
1961,81.9
1962,112
1963,41.8
1964,50.2
1965,87
1966,72.4
1967,78
1968,68
1969,90
1970,41.7
1971,60.4
1972,50.8
1973,50
1974,81
1975,81
1976,56
1977,75
1978,62.4
1979,68.6
1980,95.2
1981,81.2
1982,92.8
1983,72
1984,92.4
1985,88.6
1986,45.8
1987,67.8
1988,91.4
1989,73.8
1990,55.8
1991,71.2
1992,120.6
1993,53.6
1994,81
1995,70.4
1996,105.8
1997,84.8
1998,69
1999,75
2000,59.5
2001,81.9
2002,105.7
2003,47.9
2004,54.7
2005,87
2006,54.5
2007,138.6
2008,74.7
2009,84.3
2010,80.7
2011,145.5
2012,96.2
2013,78
2014,67.9
2015,67
2016,98.8
2017,97
2018,63.3
2019,53
