UF,RJ
Cidade,BARRA MANSA
Nome Posto,GLICERIO
Latitude,-22.474166666666665
Longitude,-44.22888888888889
Codigo,2244044
Qtd. Anos,54
Ano,Maxima
1967,30.8
1968,87
1969,73
1970,54
1971,148
1972,56
1973,69
1974,57
1975,53
1976,57.3
1977,70.6
1978,49
1979,85.5
1980,80.6
1981,87.9
1982,67.2
1983,54.9
1984,86
1985,106.2
1986,57.2
1987,76.6
1988,88.8
1989,70.4
1990,115.6
1991,120.2
1992,140.2
1993,60.5
1994,66.5
1995,50.2
1996,96.4
1997,95.3
1998,78.5
1999,98
2000,120
2001,46.3
2002,72
2003,77.4
2004,68.9
2005,88.4
2006,45.4
2007,67.3
2008,77.5
2009,101.6
2010,131
2011,89
2012,50.6
2013,76.5
2014,52.5
2015,74.5
2016,72.7
2017,51.2
2018,49.4
2019,77.8
2020,48.4
