UF,RJ
Cidade,MAGE
Nome Posto,REPRESA DO PARAISO
Latitude,-22.495833333333334
Longitude,-42.90861111111111
Codigo,2242012
Qtd. Anos,54
Ano,Maxima
1967,70.4
1968,122
1969,85
1970,53.4
1971,75.2
1972,81.3
1973,95.1
1974,144.2
1975,75.2
1976,204.2
1977,175.4
1978,91
1979,86.2
1980,66.2
1981,193
1982,182.1
1983,120.4
1984,78.3
1985,100.2
1986,130.2
1987,113.4
1988,127.1
1989,115.6
1990,155.9
1991,171.3
1992,162.4
1993,97.9
1994,174.6
1995,167.2
1996,142.3
1997,78.2
1998,148.6
1999,94.8
2000,88.3
2001,92.3
2002,68.5
2003,75.6
2004,98.5
2005,128.9
2006,110.5
2007,95.9
2008,69.8
2009,152.9
2010,98.5
2011,75.2
2012,87.3
2013,150.5
2014,70.9
2015,48.9
2016,72.9
2017,60.7
2018,68.9
2019,85.6
2020,52.6
