UF,RJ
Cidade,TRES RIOS
Nome Posto,AREAL (GRANJA GABI)
Latitude,-22.24388888888889
Longitude,-43.09722222222222
Codigo,2243013
Qtd. Anos,82
Ano,Maxima
1939,41
1940,90.3
1941,21.2
1942,41.8
1943,77.7
1944,88.5
1945,61.6
1946,100
1947,94
1948,83
1949,50
1950,71
1951,70
1952,42
1953,65
1954,44
1955,54
1956,64
1957,43.1
1958,78
1959,46.6
1960,72.4
1961,157
1962,59.4
1963,84.2
1964,60.4
1965,96.2
1966,68.4
1967,56
1968,98.4
1969,82.4
1970,42
1971,52.4
1972,59
1973,74
1974,67
1975,61
1976,58.7
1977,72
1978,90.6
1979,56
1980,71.4
1981,58.4
1982,75
1983,68
1984,32
1985,96.4
1986,52
1987,56.4
1988,74.7
1989,92.6
1990,54
1991,82
1992,95
1993,64.8
1994,78.9
1995,88.7
1996,88
1997,77.9
1998,78.6
1999,64.2
2000,99.6
2001,70.5
2002,102.4
2003,59.2
2004,86.5
2005,83.8
2006,108.2
2007,78.5
2008,41.8
2009,84.6
2010,160.7
2011,66.5
2012,101.3
2013,78.9
2014,51.3
2015,43.6
2016,101.2
2017,60.5
2018,206.6
2019,46
2020,50.5
