UF,RJ
Cidade,TRAJANO DE MORAIS
Nome Posto,MARIA MENDONCA
Latitude,-22.18638888888889
Longitude,-42.16361111111111
Codigo,2242002
Qtd. Anos,55
Ano,Maxima
1966,80.2
1967,93.2
1968,41.4
1969,36.2
1970,58
1971,128
1972,112
1973,100.2
1974,80.1
1975,75
1976,62
1977,89
1978,63
1979,101.2
1980,101.1
1981,70.2
1982,62
1983,92.2
1984,80.2
1985,68.2
1986,70.2
1987,126
1988,100.2
1989,105.2
1990,50
1991,79
1992,90.7
1993,62
1994,125
1995,50
1996,82
1997,93
1998,94.2
1999,68.2
2000,94.2
2001,80.3
2002,87.2
2003,106.3
2004,73.4
2005,105.1
2006,95.2
2007,103.3
2008,64.3
2009,61
2010,88.2
2011,62.3
2012,100
2013,96
2014,52
2015,87.5
2016,109.2
2017,56.4
2018,119
2019,67.1
2020,37
