UF,RJ
Cidade,RIO DE JANEIRO
Nome Posto,RIO DE JANEIRO
Latitude,-22.9
Longitude,-43.166666666666664
Codigo,2243129
Qtd. Anos,47
Ano,Maxima
1961,62
1962,167.4
1963,55.1
1964,69.6
1965,111.4
1966,237
1967,154.6
1968,73.6
1969,52.8
1970,54.8
1971,137.7
1972,60.6
1973,147.4
1974,56.4
1975,123.6
1976,51.2
1977,97.8
1978,56.2
1979,45.1
1980,16.2
1981,47.7
1982,6.4
1983,125.6
1984,53.5
1985,92
1986,103.9
1987,102.2
1988,126.8
1989,98.2
1990,154.4
1991,109.6
2002,61.8
2003,151.3
2004,58.4
2005,106
2006,103
2007,112.8
2008,67.2
2009,93.6
2010,178.5
2011,83.9
2012,64.7
2013,120.6
2014,43.8
2015,55
2016,96.9
2017,34.8
