UF,RJ
Cidade,SUMIDOURO
Nome Posto,SUMIDOURO
Latitude,-22.05027777777778
Longitude,-42.67833333333333
Codigo,2242029
Qtd. Anos,70
Ano,Maxima
1951,78.3
1952,257
1953,115
1954,48.8
1955,82.2
1956,166
1957,112
1958,85.2
1959,44
1960,69.4
1961,73.4
1962,60.6
1963,50.6
1964,130
1965,100.4
1966,109
1967,100.4
1968,73.4
1969,70
1970,64
1971,69.4
1972,65.6
1973,86.2
1974,85.6
1975,68.2
1976,83
1977,79.2
1978,77.6
1979,103.6
1980,100.2
1981,128.6
1982,80
1983,104
1984,79.4
1985,95.8
1986,100.2
1987,75.2
1988,82.6
1989,120.6
1990,91
1991,110.1
1992,112.4
1993,120.6
1994,81.6
1995,78.8
1996,83.2
1997,130.4
1998,99.1
1999,73.3
2000,84.1
2001,90.4
2002,81.9
2003,95.6
2004,77.4
2005,95.5
2006,96.6
2007,75.7
2008,61.5
2009,65.3
2010,168.5
2011,46.8
2012,89.5
2013,42.5
2014,38.6
2015,215
2016,89.7
2017,51
2018,136
2019,66.2
2020,99.3
