UF,RJ
Cidade,RESENDE
Nome Posto,VISCONDE DE MAUA (ESC. AGROT)
Latitude,-22.33
Longitude,-44.538333333333334
Codigo,2244047
Qtd. Anos,84
Ano,Maxima
1937,68
1938,85
1939,83.2
1940,80.4
1941,219
1942,66.8
1943,113.7
1944,126.5
1945,120.4
1946,163.4
1947,75
1948,120.5
1949,75.4
1950,96.6
1951,82.8
1952,81.4
1953,78.6
1954,65.8
1955,74.2
1956,95.4
1957,85.8
1958,116.6
1959,88.4
1960,117
1961,91.6
1962,124
1963,107
1964,92
1965,104
1966,112
1967,164
1968,112
1969,98
1970,93.8
1971,57
1972,92
1973,96.2
1974,72.4
1975,85
1976,67.6
1977,71
1978,116.2
1979,139.4
1980,80.4
1981,128.2
1982,98.4
1983,75.4
1984,110
1985,175.2
1986,119.6
1987,93.6
1988,84
1989,113.6
1990,66.2
1991,83
1992,64.2
1993,76
1994,155
1995,49
1996,107.3
1997,107.7
1998,118.7
1999,153
2000,160.7
2001,107
2002,70
2003,99.8
2004,126.4
2005,114.3
2006,119.2
2007,104.5
2008,110.9
2009,108.8
2010,110.2
2011,183.5
2012,120.2
2013,90.1
2014,74.7
2015,76.2
2016,166.5
2017,110
2018,142.2
2019,67.8
2020,74.8
