UF,RJ
Cidade,CAMPO DOS GOYTACAZES
Nome Posto,CAMPOS - PONTE MUNICIPAL
Latitude,-21.753333333333334
Longitude,-41.30027777777777
Codigo,2141002
Qtd. Anos,51
Ano,Maxima
1945,93.2
1946,81.4
1947,80.4
1948,50.6
1949,150.3
1950,89.9
1951,70
1952,64.2
1953,47.4
1954,70.2
1955,133
1956,144.4
1957,89.2
1958,74.2
1959,61.4
1960,102
1961,58
1962,97.6
1963,48
1964,91.1
1965,95
1966,147
1967,57
1968,63
1969,57
1970,100
1988,46.4
1989,59.9
1990,35.1
1991,64.3
1992,107.8
1993,51.4
2002,50.5
2003,90
2004,90
2005,120.4
2006,85.2
2007,67.2
2008,64.9
2009,29
2010,39.6
2011,57.5
2012,69.5
2013,98
2014,68.3
2015,52.4
2016,79.6
2017,58
2018,94.5
2019,60
2020,41.8
