UF,RJ
Cidade,VALENCA
Nome Posto,PENTAGNA
Latitude,-22.15694444444444
Longitude,-43.7525
Codigo,2243006
Qtd. Anos,76
Ano,Maxima
1944,93.4
1945,80.3
1946,85.1
1947,127.8
1948,30.4
1949,46.2
1950,124.4
1951,27.2
1952,42.6
1953,24.6
1954,37.2
1955,92.6
1956,89
1957,39.6
1958,45.2
1959,50.6
1960,65.2
1961,100.3
1962,100.4
1963,64.4
1964,55.2
1965,50.6
1966,150
1967,57.3
1968,51
1969,96.2
1970,71.2
1971,119
1972,79
1973,53.4
1974,55.3
1975,58
1976,56
1977,109.4
1978,125
1979,53
1980,87
1981,76.2
1982,94.2
1983,83
1984,56
1985,72.3
1986,74.2
1987,76
1988,93
1989,777.7
1990,100.8
1991,66.6
1992,70.5
1993,68
1994,61
1995,40.7
1996,62.1
1997,40.8
1998,50.7
1999,97.6
2000,78.8
2001,87.8
2002,46.9
2003,107.9
2004,102.1
2005,68.6
2006,65.9
2007,76.1
2008,74.2
2009,169.9
2010,88.4
2011,73.2
2012,95.9
2013,90
2014,61.9
2015,81
2016,60.2
2017,62.6
2018,100.6
2019,65.1
