UF,RJ
Cidade,VOLTA REDONDA
Nome Posto,VOLTA REDONDA
Latitude,-22.50111111111111
Longitude,-44.091944444444444
Codigo,2244041
Qtd. Anos,78
Ano,Maxima
1943,44
1944,63
1945,94.8
1946,58
1947,100.4
1948,58.4
1949,108
1950,57.8
1951,114
1952,65
1953,64.5
1954,51.1
1955,95.2
1956,54
1957,66.7
1958,75.8
1959,58.4
1960,76.8
1961,75.3
1962,79.4
1963,63.7
1964,78.4
1965,97.3
1966,75.4
1967,74.3
1968,53.7
1969,56.2
1970,34
1971,87.6
1972,71.1
1973,75.2
1974,55.2
1975,84
1976,83
1977,74
1978,66
1979,80
1980,70.8
1981,55
1982,70
1983,130.2
1984,66.4
1985,115
1986,90.6
1987,65
1988,115.4
1989,118
1990,116
1991,82
1992,115
1993,90.3
1994,125.3
1995,152
1996,150.2
1997,74.5
1998,72.7
1999,104.9
2000,75.5
2001,56.3
2002,63.4
2003,91
2004,68.7
2005,95.4
2006,95.4
2007,89.1
2008,81.4
2009,80.6
2010,93.1
2011,50
2012,60.8
2013,79.7
2014,64.7
2015,61.1
2016,72.1
2017,62.2
2018,68.9
2019,103.9
2020,34.6
