UF,RJ
Cidade,TRAJANO DE MORAIS
Nome Posto,VISCONDE DE IMBE
Latitude,-22.067777777777778
Longitude,-42.16
Codigo,2242017
Qtd. Anos,56
Ano,Maxima
1965,40.1
1966,60.2
1967,75.2
1968,70.2
1969,100.2
1970,50.6
1971,94.6
1972,121.4
1973,106.4
1974,60.4
1975,66.2
1976,57.4
1977,114.3
1978,71.3
1979,84.2
1980,121.4
1981,76.2
1982,45.2
1983,88.2
1984,126
1985,69.2
1986,72.3
1987,113.3
1988,57.3
1989,777.7
1990,57.4
1991,62
1992,95.3
1993,65.9
1994,56.8
1995,76
1996,69.8
1997,65.9
1998,49.1
1999,55.3
2000,47.8
2001,50.8
2002,77.3
2003,99.8
2004,58.5
2005,79.9
2006,59.6
2007,95.7
2008,73.3
2009,70.3
2010,62.7
2011,65.6
2012,114.5
2013,71.4
2014,76.8
2015,65.1
2016,82.5
2017,60
2018,64.1
2019,71.8
2020,36.7
