UF,RJ
Cidade,VALENCA
Nome Posto,VALENCA
Latitude,-22.218888888888888
Longitude,-43.703611111111115
Codigo,2243005
Qtd. Anos,77
Ano,Maxima
1944,46
1945,79.6
1946,108.6
1947,88
1948,57
1949,59
1950,100.6
1951,43.2
1952,74.4
1953,114
1954,50.2
1955,93.6
1956,86.2
1957,73.2
1958,59
1959,59
1960,59
1961,104.2
1962,71
1963,85
1964,54.4
1965,53.6
1966,121
1967,64
1968,45.2
1969,67.8
1970,59
1971,110
1972,62.6
1973,85
1974,66.3
1975,98.2
1976,47.8
1977,91.2
1978,97.6
1979,80.8
1980,64.4
1981,61.2
1982,80.2
1983,111.8
1984,92.8
1985,139.5
1986,64
1987,78.4
1988,89.4
1989,101
1990,72.8
1991,88
1992,85.5
1993,70.8
1994,89.8
1995,48.2
1996,59.8
1997,60.2
1998,73.6
1999,105.2
2000,60.4
2001,84.2
2002,67
2003,118
2004,105.2
2005,49
2006,88.5
2007,74.5
2008,82.1
2009,78.5
2010,85
2011,83.7
2012,54.9
2013,52.1
2014,59.6
2015,72.2
2016,84.8
2017,56.6
2018,52.4
2019,75.9
2020,48.5
