UF,RJ
Cidade,PETROPOLIS
Nome Posto,FAGUNDES
Latitude,-22.299722222222226
Longitude,-43.17805555555555
Codigo,2243014
Qtd. Anos,81
Ano,Maxima
1938,99.7
1939,63.9
1940,89.8
1941,77.5
1942,81.4
1943,134.3
1944,75
1945,126
1946,106.5
1947,43.1
1948,30.2
1949,40.2
1950,7.2
1951,7.3
1954,30
1955,94.4
1956,83
1957,49
1958,78
1959,57.4
1960,91.8
1961,38.6
1962,30.2
1963,40
1964,35.4
1965,103.2
1966,55
1967,84
1968,95
1969,68
1970,55
1971,40.8
1972,52
1973,62
1974,106
1975,64.2
1976,88.6
1977,71.6
1978,117.6
1979,89
1980,59.4
1981,59
1982,38
1983,48
1984,31.6
1985,90.6
1986,117.8
1987,70.8
1988,64
1989,46.3
1990,38.4
1991,62
1992,79.4
1993,36.2
1994,83.3
1995,69.1
1996,70.6
1997,63.9
1998,59.5
1999,83.3
2000,63.3
2001,101.7
2002,62.8
2003,59.2
2004,64.5
2005,115.6
2006,58.1
2007,51.2
2008,48.8
2009,49.8
2010,58.2
2011,43.1
2012,46.4
2013,41.2
2014,32.7
2015,51.4
2016,55.8
2017,41.1
2018,64.3
2019,44.5
2020,39.4
