UF,RJ
Cidade,MACAE
Nome Posto,USINA QUISSAMA
Latitude,-22.10611111111111
Longitude,-41.471111111111114
Codigo,2241002
Qtd. Anos,55
Ano,Maxima
1966,40
1967,95
1968,60
1969,93
1970,151
1971,103
1972,49
1973,96
1974,56
1975,91
1976,52
1977,185
1978,58
1979,85
1980,61
1981,69
1982,89
1983,71
1984,48.4
1985,84
1986,52
1987,101.4
1988,90
1989,77.2
1990,140
1991,91
1992,81
1993,88
1994,102
1995,46.4
1996,99.6
1997,137
1998,292
1999,77.7
2000,92.5
2001,70.2
2002,64
2003,72
2004,127.8
2005,68.6
2006,35.8
2007,39.5
2008,312.8
2009,132
2010,55.6
2011,75.2
2012,49.1
2013,67.1
2014,70.3
2015,55.2
2016,87
2017,49
2018,159.3
2019,112.7
2020,37.3
