UF,RJ
Cidade,RESENDE
Nome Posto,NHANGAPI
Latitude,-22.503333333333334
Longitude,-44.61555555555556
Codigo,2244030
Qtd. Anos,65
Ano,Maxima
1956,58.4
1957,60.7
1958,61.6
1959,67.8
1960,63.7
1961,47
1962,97
1963,63.2
1964,73.6
1965,160.1
1966,70
1967,64.9
1968,95
1969,46
1970,31.4
1971,62.4
1972,70.2
1973,95.4
1974,79.6
1975,101.4
1976,63.4
1977,66.4
1978,104.4
1979,79
1980,70.4
1981,70.8
1982,48.2
1983,73.8
1984,93.8
1985,92.4
1986,81.8
1987,89.4
1988,63.8
1989,107
1990,37.9
1991,81.4
1992,129.2
1993,53.8
1994,117.9
1995,62.9
1996,85
1997,73.4
1998,75.8
1999,56.6
2000,162
2001,83.4
2002,69.1
2003,59.9
2004,72.3
2005,72.2
2006,42.2
2007,31.7
2008,191.6
2009,74.5
2010,103.3
2011,60
2012,66.8
2013,89.2
2014,68.1
2015,77.8
2016,106.7
2017,66.7
2018,89.7
2019,77.9
2020,46.7
