UF,RJ
Cidade,RESENDE
Nome Posto,PONTE DO SOUZA
Latitude,-22.270555555555553
Longitude,-44.391666666666666
Codigo,2244038
Qtd. Anos,81
Ano,Maxima
1939,88.2
1940,71.1
1942,83.6
1943,67.4
1944,80.2
1945,106.7
1946,105.8
1947,200.4
1948,98.3
1949,50.4
1950,127.5
1951,81.4
1952,101.4
1953,79.4
1954,67.6
1955,64.8
1956,82.6
1957,105
1958,78.4
1959,100.2
1960,164.4
1961,108.6
1962,75.8
1963,65.2
1964,139.4
1965,80.8
1966,140.4
1967,97.4
1968,77.2
1969,98
1970,65
1971,68.4
1972,88
1973,80.8
1974,94.2
1975,103.6
1976,116.4
1977,54.4
1978,115.2
1979,79.4
1980,52
1981,110.2
1982,117
1983,86.8
1984,61
1985,162.2
1986,71
1987,92.6
1988,87.7
1989,104.2
1990,90
1991,120.4
1992,78.5
1993,110.2
1994,85.6
1995,130
1996,89
1997,68.4
1998,82.6
1999,127.3
2000,144.6
2001,75
2002,87.2
2003,71
2004,61.6
2005,191.5
2006,74.4
2007,75.5
2008,86.6
2009,133.7
2010,59.5
2011,88.4
2012,56.7
2013,93.1
2014,65.6
2015,55.9
2016,88.8
2017,73.1
2018,70
2019,65.3
2020,35.9
