UF,RJ
Cidade,PARAIBA DO SUL
Nome Posto,PARAIBA DO SUL
Latitude,-22.148333333333333
Longitude,-43.29111111111111
Codigo,2243003
Qtd. Anos,82
Ano,Maxima
1939,51
1940,95
1941,42
1942,61.2
1943,85.8
1944,68
1945,133
1946,60
1947,82
1948,80
1949,130
1950,98
1951,99
1952,80
1953,80
1954,65
1955,90
1956,120
1957,72
1958,30
1959,80
1960,80.4
1961,111
1962,71
1963,64
1964,60
1965,110
1966,75
1967,82
1968,87
1969,62
1970,70
1971,54.2
1972,60
1973,69.2
1974,72.6
1975,60.9
1976,53
1977,56
1978,84
1979,70
1980,56.4
1981,48
1982,66
1983,80.2
1984,45.2
1985,64.2
1986,70
1987,90
1988,72.5
1989,777.7
1990,43.4
1991,76
1992,86.3
1993,58.8
1994,72.4
1995,67.5
1996,56.4
1997,57
1998,55.9
1999,59.1
2000,59.9
2001,100.4
2002,71.6
2003,63.6
2004,68.1
2005,70.3
2006,80.2
2007,61.7
2008,58.7
2009,67.8
2010,60.2
2011,48.9
2012,100.9
2013,47.5
2014,70.8
2015,56.7
2016,128.2
2017,62.1
2018,56.1
2019,57.6
2020,41.1
