UF,RJ
Cidade,PARATI
Nome Posto,PATRIMONIO
Latitude,-23.31722222222222
Longitude,-44.72166666666667
Codigo,2344006
Qtd. Anos,54
Ano,Maxima
1967,98
1968,144.6
1969,150.6
1970,127.4
1971,184
1972,302.2
1973,120
1974,179
1975,98.6
1976,163
1977,78.3
1978,118.2
1979,156
1980,81
1981,150
1982,50.2
1983,70
1984,80.2
1985,140.8
1986,160.8
1987,130.6
1988,170.8
1989,777.7
1990,147.6
1991,107.1
1992,87.1
1993,133.8
1994,146.3
1995,146.6
1996,97.8
1997,101.6
1998,141.5
1999,184
2000,198.1
2001,157.7
2002,221.7
2003,242.2
2004,396.2
2005,179.6
2006,186.1
2007,172
2008,161.3
2009,252.5
2010,204.9
2011,278.8
2012,135.3
2013,210.4
2014,127.3
2015,120.6
2016,176.1
2017,239.1
2018,175
2019,129
2020,61.7
