UF,RJ
Cidade,CAMPO DOS GOYTACAZES
Nome Posto,CAMPOS
Latitude,-21.75
Longitude,-41.333333333333336
Codigo,2141044
Qtd. Anos,97
Ano,Maxima
1900,39.4
1901,53.3
1902,34.3
1903,16.5
1904,81.3
1905,56.9
1906,86.1
1907,74.7
1908,60.7
1911,65
1912,48
1913,85
1914,86
1915,68
1916,73
1917,70
1918,50
1919,61.4
1920,78
1921,80
1922,102.7
1923,65
1924,97
1925,53.6
1926,61
1927,85
1928,41
1929,166
1930,87
1931,98
1932,80.6
1933,103
1934,103
1935,94
1936,75.6
1937,74.4
1938,75.7
1939,42.4
1940,75
1941,66.9
1942,62.1
1943,76.8
1944,115.8
1945,62.5
1946,83.6
1947,99
1948,61.7
1949,87.5
1950,79.3
1951,68.6
1952,57.4
1953,50
1954,67.3
1955,159.3
1956,83.8
1957,90.9
1958,75.4
1959,52.1
1960,108.6
1961,53.2
1962,74
1963,48.7
1964,82.5
1965,81.8
1966,111.4
1967,89.3
1968,79.1
1969,73.1
1970,107.3
1971,97.5
1972,117.8
1973,59.8
1974,42.3
1975,53.3
1976,60
1977,149.7
1978,75
1979,62.3
1980,59.2
1981,75.8
1982,36.6
1983,80.5
1984,48.7
1985,90.9
1986,59.8
1987,77.6
1988,53
1989,59.9
1990,35.3
1991,64.3
1992,40.1
1993,51.4
1994,41.4
1995,48.8
1996,61.2
1997,51.2
1998,94.8
