UF,RJ
Cidade,BARRA MANSA
Nome Posto,NOSSA SENHORA DO AMPARO
Latitude,-22.385555555555555
Longitude,-44.1075
Codigo,2244045
Qtd. Anos,53
Ano,Maxima
1968,99
1969,60.6
1970,70
1971,62.9
1972,63
1973,66.2
1974,64
1975,98.2
1976,98.2
1977,121
1978,88
1979,100.4
1980,56.4
1981,99.4
1982,104
1983,84.2
1984,76.2
1985,125.1
1986,59
1987,66.8
1988,107
1989,93
1990,71
1991,90.8
1992,145
1993,80.2
1994,102
1995,70
1996,75
1997,93
1998,91.7
1999,101
2000,96.5
2001,84.8
2002,76.2
2003,144.2
2004,75.7
2005,112.3
2006,69
2007,72.1
2008,114.3
2009,138.1
2010,83.9
2011,107.6
2012,115.7
2013,110.5
2014,59.1
2015,79.5
2016,91.1
2017,81.1
2018,100.1
2019,98.8
2020,71.2
