UF,RJ
Cidade,PETROPOLIS
Nome Posto,MORELI (PARADA MORELI)
Latitude,-22.193055555555556
Longitude,-43.00833333333333
Codigo,2243016
Qtd. Anos,66
Ano,Maxima
1955,68.2
1956,120
1957,70.6
1958,73
1959,50
1960,48
1961,86
1962,89
1963,26
1964,57
1965,72
1966,76
1967,70.8
1968,50
1969,57
1970,51
1971,58
1972,78
1973,85
1974,85
1975,82
1976,75
1977,106
1978,80
1979,62
1980,77
1981,64
1982,84
1983,61
1984,38
1985,85
1986,73
1987,68.2
1988,72.4
1989,101
1990,56.4
1991,85.6
1992,60.4
1993,29.4
1994,92.4
1995,27.4
1996,56.4
1997,83.4
1998,98.2
1999,91.1
2000,58.4
2001,106.4
2002,78.4
2003,78
2004,108.1
2005,98.7
2006,121.5
2007,111.2
2008,63.4
2009,109.4
2010,49.9
2011,102
2012,134.5
2013,73.7
2014,78.2
2015,58.1
2016,75.1
2017,74.8
2018,172.6
2019,63.5
2020,56.5
