UF,RJ
Cidade,SAPUCAIA
Nome Posto,ANTA
Latitude,-22.03527777777778
Longitude,-42.990833333333335
Codigo,2242028
Qtd. Anos,77
Ano,Maxima
1944,61.8
1945,64
1946,99
1947,96
1948,74
1949,79
1950,54
1951,70
1952,73
1953,53
1954,60
1955,62
1956,91
1957,102
1958,63
1959,83
1960,82
1961,102
1962,50
1963,49
1964,98
1965,54
1966,88
1967,80
1968,87
1969,49
1970,40
1971,61.6
1972,81
1973,73
1974,60
1975,67
1976,66
1977,85.2
1978,74
1979,103
1980,96
1981,65.8
1982,84
1983,72
1984,70.4
1985,91.2
1986,75.8
1987,78.4
1988,84.4
1989,93.4
1990,98.4
1991,82
1992,74
1993,79
1994,96.6
1995,65
1996,58.6
1997,70
1998,94.5
1999,55.7
2000,53.7
2001,63.4
2002,50.2
2003,67
2004,77.8
2005,87.7
2006,90.7
2007,94.1
2008,66.6
2009,95
2010,78.3
2011,97.7
2012,123.2
2013,55
2014,97
2015,57
2016,62
2017,73.2
2018,99.6
2019,58.4
2020,44.1
