UF,RJ
Cidade,MAGE
Nome Posto,ESTACAO DE BOMB. DE IMUNANA
Latitude,-22.685555555555556
Longitude,-42.94972222222222
Codigo,2242011
Qtd. Anos,53
Ano,Maxima
1967,120
1968,105.6
1969,95.4
1970,77.3
1971,100
1972,47
1973,112.8
1974,90.6
1975,50
1976,62.6
1977,81.8
1978,61.6
1979,85
1980,69
1981,98
1982,114.6
1983,80
1984,62
1985,71
1986,90
1987,69
1988,127
1989,93
1990,169
1991,170.8
1992,146.2
1993,91
1994,70.5
1995,95
1996,86.8
1997,153.7
1998,153.7
1999,119.5
2000,67.3
2001,75.6
2002,88.6
2003,66.3
2004,86.6
2005,107.9
2006,69.2
2007,117.2
2008,74.9
2009,111.2
2010,93.3
2011,41.6
2012,86.3
2013,86.2
2014,81.8
2015,81.7
2016,70.5
2017,94.5
2018,99.9
2019,77.9
