UF,RJ
Cidade,PARATI
Nome Posto,SAO ROQUE
Latitude,-23.072222222222223
Longitude,-44.698055555555555
Codigo,2344008
Qtd. Anos,54
Ano,Maxima
1967,60
1968,135
1969,154.8
1970,58.2
1971,250.6
1972,73.8
1973,199
1974,104
1975,218
1976,98
1977,172.6
1978,174
1979,117.4
1980,145.6
1981,65.6
1982,99
1983,96.3
1984,100.2
1985,233
1986,125.1
1987,78
1988,210.1
1989,174
1990,125.3
1991,100
1992,220.8
1993,95
1994,134
1995,81.8
1996,150
1997,112.8
1998,86.8
1999,148.1
2000,79.3
2001,124.5
2002,327.9
2003,144.4
2004,76.7
2005,128.7
2006,105.7
2007,190.8
2008,171.8
2009,112.9
2010,98.1
2011,171.3
2012,67.6
2013,174.7
2014,92.1
2015,125
2016,190
2017,100
2018,130
2019,119.5
2020,81.2
