UF,SE
Cidade,CAPELA
Nome Posto,CAPELA
Latitude,-10.483333333333333
Longitude,-37.06666666666667
Codigo,1037078
Qtd. Anos,37
Ano,Maxima
1983,39.8
1984,68.2
1985,76.4
1986,117.5
1987,75.5
1988,121.8
1989,138
1990,66.8
1991,180
1992,77.2
1993,89
1994,72.6
1995,71
1996,59.2
1997,89
1998,52.6
1999,91
2000,73
2001,70.9
2002,51.5
2003,132.2
2004,77.2
2005,100.8
2006,39.9
2007,117.7
2008,45.6
2009,130.4
2010,40.6
2011,36.8
2012,65.2
2013,57.8
2014,83.2
2015,64.4
2016,32.5
2017,132.8
2018,83.9
2019,147.1
