UF,SE
Cidade,JAPARATUBA
Nome Posto,USINA OUTEIRINHOS
Latitude,-10.633333333333333
Longitude,-36.96666666666667
Codigo,1036020
Qtd. Anos,27
Ano,Maxima
1963,157.4
1964,91.6
1965,55.2
1966,112
1967,98.4
1968,128.2
1969,75.4
1970,134.2
1971,82
1972,85
1973,130.2
1974,89.4
1975,80.3
1976,39.4
1977,153.4
1978,132.2
1979,110.2
1980,72.1
1981,46.2
1982,96.6
1983,55.4
1984,66.4
1985,91.9
1986,127.4
1987,67.3
1991,134.6
1996,65
