UF,SE
Cidade,CANINDE DE SAO FRANCISCO
Nome Posto,CANINDE DE SAO FRANCISCO
Latitude,-9.65
Longitude,-37.8
Codigo,937028
Qtd. Anos,76
Ano,Maxima
1912,18
1913,69.2
1914,62
1915,43
1916,63.5
1917,56
1918,55.4
1919,45.3
1920,67
1921,64
1922,26.1
1923,35.2
1924,72
1925,67.2
1926,68.2
1927,57.5
1928,66.2
1929,62.5
1930,27
1931,21.3
1932,76
1933,47
1934,52.3
1935,66.2
1936,50.1
1937,62.5
1938,62.7
1939,60.2
1940,110.2
1941,66.3
1942,54.2
1943,73.2
1944,70.2
1945,54
1946,77
1947,80.2
1948,308.1
1949,44
1950,59
1951,48
1952,70
1953,49.2
1954,63.4
1955,45.8
1956,30.3
1957,81
1958,22
1963,77
1964,84
1965,84
1966,60
1967,80.5
1968,31.2
1969,44
1970,57.5
1971,25
1972,125.5
1973,33
1974,68
1975,74.2
1976,30.5
1977,66
1978,80.4
1979,58.6
1980,52.6
1981,108
1982,14.3
1983,45.1
1984,58.6
1991,108
1994,37
1995,7.6
1996,17
1997,60.2
1998,18.2
1999,23.2
