UF,SE
Cidade,PROPRIA
Nome Posto,PROPRIA
Latitude,-10.215277777777777
Longitude,-36.823888888888895
Codigo,1036048
Qtd. Anos,43
Ano,Maxima
1973,73.6
1978,23.2
1979,31
1980,73.3
1981,57.4
1982,69.1
1983,60.2
1984,61.6
1985,67.3
1986,70.8
1987,91.5
1988,45.6
1989,75.4
1990,14
1991,60.2
1992,83.3
1993,88.3
1994,62.9
1995,48.7
1996,58.6
1997,54.4
1998,74.8
1999,70.4
2000,65
2001,54.4
2002,42
2003,58
2004,60.5
2005,106.8
2006,53.6
2007,62.7
2008,52.4
2009,102.7
2010,67.1
2011,35.8
2012,38.6
2013,45.7
2014,37.1
2015,56.1
2016,59.3
2017,78.5
2018,34.7
2019,47.7
