UF,SE
Cidade,SALGADO
Nome Posto,SALGADO
Latitude,-11.030277777777778
Longitude,-37.47833333333333
Codigo,1137001
Qtd. Anos,79
Ano,Maxima
1941,1.5
1942,144
1943,106
1944,98
1945,55
1946,100
1947,70.5
1948,75
1949,150
1950,100.9
1951,95
1952,122
1953,38.4
1954,50.2
1955,89.3
1956,40.2
1957,90.4
1958,60.4
1959,50.2
1960,65
1961,50.4
1962,80.1
1963,102
1964,130
1965,42
1966,86
1967,82
1968,72
1969,98.1
1970,77
1971,72.3
1972,68.3
1973,171
1974,107.1
1975,71
1976,51
1977,75.3
1978,71.2
1979,94
1980,96.2
1981,79.2
1982,109.4
1983,53
1984,84.6
1985,75.4
1986,85.8
1987,120
1988,151.8
1989,185
1990,65.8
1991,60.5
1992,76
1993,30.1
1994,55.2
1995,60.8
1996,50.6
1997,72.3
1998,97.9
1999,92.2
2000,110.5
2001,48.7
2002,104.7
2003,80
2004,52.9
2005,98
2006,79.1
2007,146.5
2008,72.5
2009,98
2010,106
2011,114.6
2012,118.5
2013,115.7
2014,88.1
2015,85
2016,104.7
2017,84
2018,68.4
2019,102.7
