UF,SE
Cidade,SANTA ROSA DE LIMA
Nome Posto,SANTA ROSA DE LIMA (CAMBOATA)
Latitude,-10.652777777777779
Longitude,-37.19277777777778
Codigo,1037049
Qtd. Anos,67
Ano,Maxima
1952,40.7
1953,36.4
1954,23.9
1955,94.2
1956,36.1
1957,64.2
1958,24.3
1959,18.2
1960,23.1
1961,24.2
1962,81.2
1963,16.4
1965,34.2
1966,3.9
1967,47.6
1968,40.4
1969,28.8
1970,33.1
1971,32.2
1972,39.6
1973,58.6
1974,36.2
1975,48.8
1976,95
1977,60.2
1978,113.6
1979,100.2
1980,41
1981,25
1982,36
1983,39
1984,51
1985,50
1986,91.2
1987,59.9
1988,62
1989,71.4
1990,50.9
1991,50.6
1992,55.3
1993,103.5
1994,78.9
1995,50.3
1996,105
1997,91.5
1998,92.9
1999,123.5
2000,87.8
2001,50.5
2002,103.6
2003,59.7
2004,78.9
2005,65.9
2006,74.7
2007,94.1
2008,128.2
2009,93.5
2010,75.8
2011,52.2
2012,45.1
2013,97
2014,70.6
2015,93.2
2016,42.1
2017,55.3
2018,36.6
2019,200
