UF,SE
Cidade,FREI PAULO
Nome Posto,FREI PAULO
Latitude,-10.55
Longitude,-37.53333333333333
Codigo,1037014
Qtd. Anos,71
Ano,Maxima
1912,80.3
1913,67
1914,52
1915,66.9
1916,62.3
1917,70
1918,50.7
1919,55
1920,67.2
1921,68.5
1922,65.3
1923,65
1924,65
1925,32.6
1926,75.6
1927,46.8
1928,28.3
1929,65
1930,65
1931,40.2
1932,31.5
1933,65
1934,72.9
1935,126.2
1936,50.2
1937,99.3
1938,36.8
1939,59.8
1940,61.8
1941,88.7
1942,55.5
1943,48.1
1944,47.1
1945,82.2
1946,76.6
1947,86.6
1948,57.6
1949,57.9
1950,84.1
1951,68.3
1952,59.7
1953,31.1
1954,37
1955,61.8
1956,42.1
1957,59.2
1958,85
1959,49
1960,54.3
1961,31.4
1963,85.5
1964,71
1965,68
1966,71.4
1967,58.4
1968,57.3
1969,58.8
1970,54.6
1971,61.6
1972,80.2
1973,74
1974,44.2
1975,76.1
1976,51.6
1977,59.2
1978,87.6
1979,77
1980,47.5
1981,8.8
1984,24.5
1985,19
