UF,SE
Cidade,POCO REDONDO
Nome Posto,CURRALINHO
Latitude,-9.7
Longitude,-37.666666666666664
Codigo,937029
Qtd. Anos,50
Ano,Maxima
1937,110
1938,73
1939,66
1940,66
1941,52
1942,46
1943,48
1944,48
1945,48
1946,56
1947,48
1948,48
1949,48
1950,48
1951,36
1952,36
1953,36
1954,36
1955,36
1956,36
1957,85
1958,19.7
1963,25.8
1964,80.5
1965,40
1966,46.4
1967,82
1968,52.6
1969,70.2
1970,48.8
1971,55.5
1972,102
1973,38.2
1974,79.2
1975,54
1976,105.2
1977,52.6
1978,52.7
1979,49.3
1980,45.3
1981,100.5
1982,58.5
1983,48.5
1984,50.2
1986,22.4
1991,54.4
1993,25
1994,54.4
1999,35.6
2000,25.6
