UF,SE
Cidade,ITABAIANINHA
Nome Posto,ITABAIANINHA
Latitude,-11.266666666666667
Longitude,-37.78333333333333
Codigo,1137020
Qtd. Anos,66
Ano,Maxima
1912,47.7
1913,61
1914,46.6
1915,30.8
1916,116.4
1917,39.2
1918,69.1
1919,62.5
1920,68.1
1921,66.2
1922,65.8
1923,35.4
1924,94.5
1925,52.3
1926,64
1927,45.5
1928,67.2
1929,89.3
1930,65.5
1931,33.2
1932,62.8
1933,64.8
1934,89.5
1935,56.4
1936,50.2
1937,43.7
1938,63.6
1939,69.4
1940,53.8
1941,61.5
1942,42.8
1943,33.7
1944,65.3
1945,59.5
1946,28.3
1947,69.2
1948,48
1949,62
1950,65
1951,63
1952,65.6
1953,49
1954,68
1955,56
1956,77
1957,77.6
1958,126.4
1963,10
1964,35.1
1965,42.2
1966,40
1967,50.3
1968,30.9
1969,76.1
1970,33
1971,73.2
1972,52.2
1973,44.7
1974,72
1975,55.5
1976,59
1977,68.6
1978,53.9
1979,13.8
1984,42.3
1985,133
