UF,SE
Cidade,NOSSA SENHORA DAS DORES
Nome Posto,NOSSA SENHORA DAS DORES
Latitude,-10.5
Longitude,-37.21666666666667
Codigo,1037036
Qtd. Anos,82
Ano,Maxima
1913,38.6
1914,56.2
1915,69.1
1916,62.7
1917,68.7
1918,122.2
1919,40.5
1920,38.2
1921,70.3
1922,56.3
1923,53
1924,68.2
1925,16.6
1926,53
1927,34.5
1928,24.7
1929,66.5
1930,73.4
1931,51.1
1932,56.4
1933,66
1934,100.8
1935,146.2
1936,26.4
1937,50
1938,51.2
1939,55.4
1940,74.8
1941,30.4
1942,57.3
1943,46.2
1944,67.2
1945,68.2
1946,52.5
1947,79.5
1948,67.2
1949,83.5
1950,83.3
1951,58.3
1952,58.4
1953,65.6
1954,62.3
1955,60.3
1956,54.1
1957,86.3
1958,51.3
1959,53.2
1960,42.9
1961,50.4
1962,63
1963,74.3
1964,102
1965,74
1966,80.8
1967,51.7
1968,75
1969,80
1970,70
1971,77.1
1972,40
1973,111
1974,111.1
1975,70.3
1976,71.1
1977,75.2
1978,64.2
1979,100.3
1980,45.4
1981,53.2
1982,70.4
1983,35.3
1984,57.3
1985,50.3
1986,67
1987,75
1991,100
1994,74.4
1996,45.3
1997,85.3
1998,53.3
1999,135.2
2000,75.3
