UF,SE
Cidade,POCO VERDE
Nome Posto,POCO VERDE
Latitude,-10.70861111111111
Longitude,-38.177499999999995
Codigo,1038000
Qtd. Anos,45
Ano,Maxima
1937,36
1938,30.7
1939,32.5
1940,52
1941,91.5
1942,16.4
1943,52.3
1944,43.2
1945,28.4
1946,45.3
1947,54.3
1948,35
1949,54.3
1950,82.4
1951,84
1952,124
1953,83.2
1954,96
1955,83.4
1956,94.3
1957,84.3
1958,72.3
1963,64.3
1964,73.2
1965,8.2
1966,37.5
1967,44.4
1968,40
1969,69
1970,80
1971,54
1972,79
1973,65.2
1974,81
1975,39.3
1976,25
1977,102
1978,115
1979,73
1980,60.8
1981,49
1982,39
1983,61
1984,98
1989,23
