UF,SE
Cidade,SIMAO DIAS
Nome Posto,SIMAO DIAS (ANAPOLIS)
Latitude,-10.733333333333333
Longitude,-37.8
Codigo,1037045
Qtd. Anos,76
Ano,Maxima
1912,29.5
1913,65.5
1914,57.4
1915,64.7
1916,68.5
1917,71.4
1918,60.4
1919,36.5
1920,68.5
1921,64.1
1922,66.4
1923,55.4
1924,65.5
1925,60.5
1926,60.2
1927,35.5
1928,62.4
1929,66.5
1930,60
1931,49
1932,29
1933,64
1934,74
1935,65
1936,65
1937,51
1938,47.3
1939,62.8
1940,71
1941,67.4
1942,45.6
1943,48
1944,30.3
1945,17.1
1946,19.5
1947,45.5
1948,52.5
1949,28.2
1950,28.6
1951,25
1952,65
1953,42.8
1954,28.3
1955,52
1956,32
1957,80
1958,64
1959,25
1960,108
1961,46
1962,115
1963,81
1964,49
1965,33
1966,44.5
1967,80.4
1968,78.3
1969,59
1970,110.2
1971,87
1972,60
1973,50
1974,88
1975,75.6
1976,40
1977,80.6
1978,47.2
1979,98.4
1980,75.4
1981,55.2
1982,63
1983,48
1984,36
1985,75.6
1986,75.8
1987,84.6
