UF,SE
Cidade,PORTO DA FOLHA
Nome Posto,PORTO DA FOLHA
Latitude,-9.916666666666666
Longitude,-37.266666666666666
Codigo,937026
Qtd. Anos,73
Ano,Maxima
1913,64.4
1914,102.2
1915,63.3
1916,47.5
1917,44
1918,63.1
1919,58.8
1920,67.4
1921,62.3
1922,30.4
1923,47
1924,60.5
1925,32.8
1926,52.4
1927,50.2
1928,45.3
1929,70
1930,66.7
1931,21.3
1932,33.5
1933,61.6
1934,52.5
1935,70.8
1936,63.4
1937,65.7
1938,56.4
1939,36.3
1940,48.3
1941,62.3
1942,52.3
1943,25.2
1944,63.7
1945,59.4
1946,25.5
1947,57.3
1948,57
1949,46.8
1950,78.5
1951,26.5
1952,67.5
1953,36.1
1954,59.3
1955,24.5
1956,33.6
1957,32.7
1958,31.3
1963,43.4
1964,37.8
1965,64
1966,53.8
1967,48.1
1968,28.8
1969,72.7
1970,40.8
1971,27.3
1972,36
1973,32.3
1974,117
1975,44.4
1976,45
1977,36.7
1978,40
1979,54.9
1980,104.3
1981,63
1982,63.8
1983,31.3
1984,48.9
1996,24.3
1997,111
1998,49
1999,45
2000,53
