UF,SE
Cidade,RIACHAO DO DANTAS
Nome Posto,BONFIM
Latitude,-11.05
Longitude,-37.85
Codigo,1137011
Qtd. Anos,72
Ano,Maxima
1912,53.7
1913,65
1914,45.5
1915,48.4
1916,66.5
1917,45.5
1918,52
1919,52
1920,60
1921,50.5
1922,39
1923,32.5
1924,71.5
1925,26
1926,49.8
1927,56.3
1928,66.4
1929,110
1930,79.1
1931,55.8
1932,47.3
1933,54.8
1934,67.8
1935,64.3
1936,68.1
1937,54.9
1938,55.3
1939,65.4
1940,64.1
1941,66.5
1942,67.6
1943,63.5
1944,57.6
1945,62.5
1946,62.3
1947,58.7
1948,54.6
1949,65.7
1950,64.3
1951,42.3
1952,64.3
1953,63.4
1954,53.2
1955,42.6
1956,26.5
1957,43.2
1958,25.3
1963,62.5
1964,115.5
1965,45.3
1966,56.3
1967,35.4
1968,38.5
1969,52.4
1970,38.4
1971,34.2
1972,26.2
1973,49.7
1974,53.6
1975,57.2
1976,65.7
1977,45.7
1978,34.6
1979,35.6
1980,27.4
1981,32.4
1982,28.2
1983,18.5
1984,28.3
1985,68.3
1986,64.2
1987,70.2
