UF,SE
Cidade,LARANJEIRAS
Nome Posto,LARANJEIRAS
Latitude,-10.8
Longitude,-37.166666666666664
Codigo,1037028
Qtd. Anos,67
Ano,Maxima
1920,64.7
1921,115.1
1922,87.1
1923,80.5
1924,82.5
1925,43.1
1926,232.8
1927,67.6
1928,52
1929,195
1930,325
1931,52
1932,71.5
1933,75
1934,214.5
1935,320
1936,82
1937,55
1938,50
1939,96
1940,88
1941,54
1942,65.6
1943,40
1944,93
1945,105.2
1946,48.5
1947,98
1948,84
1949,98.6
1950,80
1951,35
1952,60
1953,50
1954,35
1955,40.2
1956,58.3
1957,42
1958,32.3
1959,59.2
1960,52.3
1961,42
1963,48
1964,70
1965,31
1966,84.5
1967,54
1968,77
1969,60.6
1970,78.3
1971,104.2
1972,72.5
1973,74.5
1974,130.8
1975,75.6
1976,57.2
1977,99.5
1978,90
1979,50.6
1980,90.4
1981,50.2
1982,60.2
1983,52.3
1984,50.6
1985,75.4
1986,132
1987,70.2
