UF,SE
Cidade,ITAPORANGA D'AJUDA
Nome Posto,FAZENDA BELEM
Latitude,-10.941666666666666
Longitude,-37.345
Codigo,1037007
Qtd. Anos,70
Ano,Maxima
1948,7.5
1949,115.2
1950,154.2
1951,88.4
1952,84.4
1953,62.2
1954,86.6
1955,86.3
1956,51.3
1957,112
1958,125
1959,112
1960,70
1961,61.8
1962,181
1963,82.4
1964,101
1965,47
1966,95
1967,78.1
1968,130
1969,159
1972,16.2
1973,132.4
1974,103
1975,155.1
1976,126
1977,126.2
1978,105
1979,186
1980,75
1981,115.2
1982,94
1983,75.2
1984,78
1985,107.6
1986,114.2
1987,138.2
1988,104.2
1989,113.5
1990,95.3
1991,150.2
1992,80.1
1993,40.1
1994,45.4
1995,52.5
1996,90.4
1997,51
1998,66.1
1999,195.5
2000,67.2
2001,59.5
2002,79.5
2003,113.2
2004,59.7
2005,100.9
2006,100
2007,101.5
2008,90.3
2009,136
2010,126.5
2011,105.2
2012,152.3
2013,104.5
2014,100.2
2015,164.1
2016,102
2017,100
2018,90.1
2019,100.3
