UF,SE
Cidade,NOSSA SENHORA DA GLORIA
Nome Posto,NOSSA SENHORA DA GLORIA
Latitude,-10.216666666666667
Longitude,-37.416666666666664
Codigo,1037034
Qtd. Anos,82
Ano,Maxima
1912,27.1
1913,58
1914,64.2
1915,63.9
1916,64
1917,46
1918,72
1919,40
1920,62
1921,67
1922,35.8
1923,46
1924,96.4
1925,25
1926,78
1927,39.5
1928,45
1929,66
1930,60
1931,30.7
1932,60
1933,66
1934,76
1935,73
1936,35
1937,56
1938,30.2
1939,36.2
1940,36
1941,42
1942,30
1943,25
1944,93
1945,56
1946,45
1947,72
1948,126
1949,32
1950,48
1951,83
1952,36
1953,36
1954,36
1955,68.3
1956,25
1957,38
1958,92
1959,22.8
1960,103
1961,24.8
1962,82
1963,132
1964,67
1965,51.9
1966,113.2
1967,52.2
1968,95
1969,68.5
1970,51.3
1971,25
1972,61.3
1973,53.8
1974,77
1975,50.2
1976,28
1977,48.3
1978,38.5
1979,42
1980,53.8
1981,94.3
1982,32
1983,35.8
1984,55
1985,56.4
1986,57.4
1987,42
1991,36.2
1994,60
1996,47.7
1997,91
1998,98
1999,90
