UF,SE
Cidade,LAGARTO
Nome Posto,LAGARTO
Latitude,-10.916666666666666
Longitude,-37.666666666666664
Codigo,1037025
Qtd. Anos,72
Ano,Maxima
1920,48.5
1921,52.5
1922,59.5
1923,37.5
1924,93.3
1925,32.3
1926,60.2
1927,25.7
1928,22
1929,26.7
1930,18.6
1931,17.2
1932,15
1933,17
1934,17.5
1935,18
1936,16
1937,22
1938,20.2
1939,20
1940,52
1941,32
1942,66.5
1943,59.5
1944,57
1945,65
1946,66
1947,62
1948,65
1949,65.5
1950,66
1951,50
1952,54.2
1953,85.9
1954,50.5
1955,47.4
1956,52.7
1957,86.2
1958,45.3
1959,30.8
1960,150
1961,44
1962,25
1963,40
1964,125
1965,40
1966,50
1967,42.5
1968,67.3
1969,71.5
1970,43
1971,80
1972,51.2
1973,64
1974,87
1975,63
1976,50
1977,73
1978,50
1979,46
1980,71
1981,42.3
1982,42
1983,50.3
1984,32.1
1985,73.1
1986,68.3
1987,95
1995,12.4
1996,62.5
1997,72.5
1998,16
