UF,SE
Cidade,PACATUBA
Nome Posto,PACATUBA (PACATIBA)
Latitude,-10.45
Longitude,-36.65
Codigo,1036021
Qtd. Anos,65
Ano,Maxima
1920,46.3
1921,121
1922,54.4
1923,67.3
1924,103
1925,30.9
1926,68.5
1927,36.2
1928,63.1
1929,77.8
1930,71.5
1931,114.7
1932,69.4
1933,112.5
1934,63.5
1935,67.1
1936,66.5
1937,40
1938,61
1939,64.9
1940,67.8
1941,56
1942,72.8
1943,62
1944,64.8
1945,87.4
1946,56.6
1947,71.1
1948,85.3
1949,72.3
1950,35.2
1951,65.2
1952,72.8
1953,145.7
1954,38.7
1955,63.8
1956,30.6
1957,89.4
1958,36.7
1959,27.7
1960,12
1961,57.4
1962,95.4
1963,108
1964,137.2
1965,66.2
1966,92
1967,88
1968,58.4
1969,69
1970,91
1971,72.6
1972,71.4
1973,87.2
1974,61.2
1975,101.8
1976,83.5
1977,101
1978,88.4
1979,91.4
1980,82.3
1981,63.4
1982,66.2
1983,34
1984,55.2
