UF,SE
Cidade,ARACAJU
Nome Posto,ARACAJU
Latitude,-10.916666666666666
Longitude,-37.05
Codigo,1037004
Qtd. Anos,53
Ano,Maxima
1951,119.2
1952,96
1961,135.4
1962,150.2
1963,83.8
1964,171.6
1965,155.3
1966,153.6
1967,77.8
1968,65
1969,102.5
1970,87
1973,76.3
1974,98.7
1975,84.2
1976,47.2
1977,139
1978,146.6
1979,106.3
1980,59.9
1986,127.2
1987,120.8
1988,60.9
1989,30.7
1991,96.4
1992,83.5
1993,108.1
1994,89.7
1995,105.7
1996,117.2
1997,81.6
1998,123.6
1999,157
2000,137.8
2001,79.2
2002,64.7
2003,62
2004,77.4
2005,51
2006,101.6
2007,48.5
2008,113.2
2009,65.2
2010,82
2011,157
2012,51.8
2013,135.4
2014,63
2015,101.5
2016,63.8
2017,92
2018,44
2019,52
