UF,SE
Cidade,ESTANCIA
Nome Posto,ESTANCIA
Latitude,-11.266666666666667
Longitude,-37.44305555555555
Codigo,1137017
Qtd. Anos,76
Ano,Maxima
1944,76
1945,75
1946,74.8
1947,65.8
1948,28.9
1949,51.2
1950,58.8
1951,42.1
1952,42.6
1953,49
1954,55.6
1955,52.8
1956,62.6
1957,120.3
1958,32.2
1959,12.8
1960,22.8
1961,14.7
1962,70.2
1963,38.9
1964,56.1
1965,38.5
1966,48.8
1967,44.1
1968,32.6
1969,137.7
1970,90.2
1971,48.4
1972,52.4
1973,132.2
1974,54.4
1975,86.5
1976,87.8
1977,77.6
1978,84.5
1979,67.1
1980,64.6
1981,119.2
1982,102.3
1983,88.7
1984,87.6
1985,122.4
1986,106.6
1987,94.7
1988,95.1
1989,157.5
1990,78.3
1991,82
1992,180.6
1993,87.3
1994,74.1
1995,80.7
1996,53.9
1997,85.7
1998,89.5
1999,145.6
2000,122.7
2001,49
2002,92.6
2003,36.2
2004,72.5
2005,86.3
2006,99.6
2007,80.5
2008,98.7
2009,51.3
2010,104.5
2011,91.3
2012,71.3
2013,123
2014,60.5
2015,121.6
2016,101.8
2017,88.3
2018,63.2
2019,144.7
