UF,SE
Cidade,ITABAIANA
Nome Posto,ACUDE ITABAIANA
Latitude,-10.683333333333334
Longitude,-37.416666666666664
Codigo,1037019
Qtd. Anos,69
Ano,Maxima
1913,64.5
1914,68.3
1915,60.3
1916,63.9
1917,63.5
1918,62.1
1919,52.4
1920,64.1
1921,74.5
1922,58.3
1923,69.8
1924,61.3
1925,33.7
1926,68.3
1927,45.9
1928,49.4
1929,39.4
1930,53.8
1931,28.9
1932,25.2
1933,49.8
1934,48.9
1935,75.9
1936,44.9
1937,42.9
1938,35.5
1939,39.9
1940,51.3
1941,53.5
1942,20.5
1943,54.2
1944,38.9
1945,42.7
1946,29.4
1947,37.2
1948,33.1
1949,38.2
1950,29.5
1951,49.3
1952,54.2
1953,52.2
1954,49.5
1955,34.4
1956,37.1
1957,55.1
1958,32
1963,25.4
1964,18
1965,18
1966,12.5
1967,12
1968,16
1969,15.2
1970,20.2
1971,28
1972,28
1973,15.4
1974,15.6
1975,15.4
1976,15
1977,15
1978,15.4
1979,15.2
1980,12
1981,12
1982,12
1983,23
1984,55.2
1985,147.1
