UF,SE
Cidade,JAPARATUBA
Nome Posto,JAPARATUBA
Latitude,-10.6
Longitude,-36.95
Codigo,1036014
Qtd. Anos,66
Ano,Maxima
1917,26.3
1918,71.6
1919,64
1920,64.2
1921,73.9
1922,64
1923,63.4
1924,67.9
1925,31.2
1926,121.7
1927,45.5
1928,39.2
1929,52
1930,49.6
1931,62.2
1932,73.6
1933,80.1
1934,63.8
1935,123.7
1936,73.8
1937,75.7
1938,62
1939,97.5
1940,95.7
1941,47.6
1942,58.5
1943,76
1944,73.1
1945,86
1946,60.3
1947,132.4
1948,66.8
1949,66.2
1950,56.2
1951,98.6
1952,93.5
1953,50.6
1954,61.4
1955,61
1956,81.3
1957,101.2
1958,51.2
1963,123.2
1964,90
1965,70.2
1966,110.2
1967,102.4
1968,160.6
1969,129.2
1970,79.2
1971,69.6
1972,97.2
1973,145
1974,109.4
1975,115
1976,91
1977,175
1978,133.4
1979,125
1980,75.2
1981,52.4
1982,75.4
1983,75.6
1984,90.4
1985,125.4
1987,135.6
