UF,SE
Cidade,RIACHAO DO DANTAS
Nome Posto,RIACHAO DO DANTAS (AGRO-PEC.)
Latitude,-11.066666666666666
Longitude,-37.733333333333334
Codigo,1137038
Qtd. Anos,25
Ano,Maxima
1954,25.4
1955,35
1956,55
1957,125
1958,106
1959,35
1960,197
1961,90.2
1962,95.8
1963,117
1964,77
1965,39.6
1966,50.6
1967,57.6
1968,69
1969,79.2
1970,43.2
1972,50
1973,64.2
1974,65
1975,64.4
1976,46
1977,207.4
1978,50
1979,20.2
