UF,TO
Cidade,NATIVIDADE
Nome Posto,NATIVIDADE
Latitude,-11.696944444444444
Longitude,-47.72833333333333
Codigo,1147001
Qtd. Anos,46
Ano,Maxima
1973,74.8
1974,89
1975,84.6
1976,80.8
1977,116.2
1978,71.2
1979,77.6
1980,122.3
1981,94
1982,71.8
1983,74
1984,76
1985,90.6
1986,91.8
1987,99.6
1988,87.3
1989,145
1990,157.4
1991,102.3
1992,124.6
1993,78
1994,82.4
1995,85
1997,26.1
1998,98.5
1999,78.8
2000,70
2001,90
2002,110.5
2003,96
2004,90.6
2005,67.2
2006,110.3
2007,37.5
2008,92
2009,89
2010,64.1
2011,92.8
2012,73.5
2013,83
2014,93.8
2015,88.6
2016,62.6
2017,115
2018,83.9
2019,79.9
