UF,TO
Cidade,MONTE DO CARMO
Nome Posto,PORTO GILANDIA
Latitude,-10.755277777777778
Longitude,-47.764722222222225
Codigo,1047002
Qtd. Anos,51
Ano,Maxima
1969,91.9
1970,75.2
1971,97.4
1972,77.8
1973,73.5
1974,78
1975,60.4
1976,73.1
1977,80.6
1978,100.4
1979,78.4
1980,81.2
1981,82.4
1982,88.3
1983,58.1
1984,67.2
1985,90.3
1986,605.3
1987,138.3
1988,60
1989,127.2
1990,53.2
1991,70.8
1992,52.3
1993,80.4
1994,97.2
1995,82.3
1996,90.5
1997,74.1
1998,61.2
1999,94.7
2000,72.2
2001,116.9
2002,81
2003,99.9
2004,108.4
2005,80.9
2006,81.5
2007,36.6
2008,125
2009,54.5
2010,46.6
2011,82
2012,80.7
2013,63.5
2014,87.5
2015,68.6
2016,81.7
2017,84.5
2018,98.8
2019,82.6
