UF,TO
Cidade,PONTE ALTA DO BOM JESUS
Nome Posto,PONTE ALTA DO BOM JESUS
Latitude,-12.090833333333334
Longitude,-46.47944444444445
Codigo,1246000
Qtd. Anos,47
Ano,Maxima
1973,82
1974,170.8
1975,89.6
1976,280.5
1977,91
1978,108.1
1979,158.4
1980,108.1
1981,59.4
1982,115.4
1983,138.6
1984,153.6
1985,76.4
1986,85.9
1987,86.7
1988,89.8
1989,80.5
1990,49.4
1991,82.4
1992,80.5
1993,48.2
1994,72.6
1995,72.4
1996,64.5
1997,48.3
1998,72.2
1999,58.2
2000,67.4
2001,78.3
2002,54.5
2003,72.3
2004,93.8
2005,89.6
2006,82.4
2007,46
2008,124.5
2009,100.2
2010,57.2
2011,68.2
2012,97.8
2013,72.2
2014,68.6
2015,80.6
2016,95.8
2017,98.2
2018,117.4
2019,62.8
