UF,TO
Cidade,ARAPOEMA
Nome Posto,ARAPOEMA
Latitude,-7.655277777777778
Longitude,-49.065
Codigo,749000
Qtd. Anos,47
Ano,Maxima
1973,40
1974,90
1975,105.2
1976,86.3
1977,79.1
1978,76
1979,127.4
1980,85
1981,72.3
1982,162.4
1983,78
1984,64.3
1985,85.2
1986,110
1987,125
1988,71.7
1989,75
1990,61
1991,95.1
1992,61
1993,145.9
1994,79
1995,86.3
1996,56.7
1997,94.7
1998,83.7
1999,143.2
2000,95.7
2001,80
2002,83.5
2003,92.7
2004,90
2005,123.1
2006,99.7
2007,117
2008,91.7
2009,86.1
2010,115.3
2011,62.4
2012,78.1
2013,148.3
2014,117.1
2015,85.8
2016,104.1
2017,91.1
2018,92.5
2019,86.4
