UF,TO
Cidade,ABREULANDIA
Nome Posto,ABREULANDIA
Latitude,-9.624444444444444
Longitude,-49.155277777777776
Codigo,949000
Qtd. Anos,47
Ano,Maxima
1973,76.6
1974,70
1975,63
1976,95
1977,65.2
1978,55
1979,86.3
1980,71.2
1981,50
1982,75
1983,75.3
1984,59.1
1985,85.2
1986,72.1
1987,94.2
1988,93.2
1989,102.8
1990,99.4
1991,137.5
1992,101
1993,64.8
1994,123.2
1995,131
1996,59
1997,91.2
1998,121.2
1999,125.1
2000,146.2
2001,66.4
2002,116.2
2003,110.3
2004,83.2
2005,109
2006,123.7
2007,129.3
2008,135.8
2009,105.5
2010,58.9
2011,50.8
2012,68.9
2013,56.5
2014,70.6
2015,119.4
2016,83.7
2017,134.6
2018,76.2
2019,108.4
