UF,TO
Cidade,DOIS IRMAOS DO TOCANTINS
Nome Posto,DOIS IRMAOS DO TOCANTINS
Latitude,-9.257222222222222
Longitude,-49.064166666666665
Codigo,949001
Qtd. Anos,47
Ano,Maxima
1973,84.3
1974,66.3
1975,70
1976,71
1977,105
1978,100
1979,88.2
1980,85
1981,85
1982,115
1983,75
1984,60
1985,130
1986,102
1987,95.3
1988,104.3
1989,95.3
1990,56.3
1991,97.2
1992,57.3
1993,85.8
1994,143.8
1995,110
1996,105.6
1997,92.7
1998,78.7
1999,58.3
2000,73.6
2001,71
2002,105.5
2003,73.8
2004,109.1
2005,107.1
2006,66.9
2007,98.1
2008,91.7
2009,99.9
2010,84.3
2011,116.8
2012,89.1
2013,128.7
2014,102.9
2015,77.5
2016,111.2
2017,98.2
2018,89.4
2019,61.9
