UF,TO
Cidade,CASEARA
Nome Posto,CASEARA
Latitude,-9.270000000000001
Longitude,-49.95888888888889
Codigo,950000
Qtd. Anos,42
Ano,Maxima
1973,55
1975,80
1980,8.2
1981,70
1982,86.6
1983,69.4
1984,64
1985,6.6
1986,51
1987,50
1988,71
1989,85.4
1990,94.2
1991,87.4
1992,123.1
1993,170.4
1994,83.3
1995,84.4
1996,106.1
1997,79.3
1998,63.9
1999,86.5
2000,91.4
2001,55.5
2002,52
2003,274.3
2004,71.8
2005,46.9
2006,41.3
2007,64.8
2008,46.8
2009,58.3
2010,76.8
2011,90
2012,43.1
2013,96.2
2014,48.2
2015,98.6
2016,54.7
2017,61.5
2018,45.1
2019,93.1
