UF,TO
Cidade,MIRACEMA DO TOCANTINS
Nome Posto,MIRACEMA DO TOCANTINS
Latitude,-9.564166666666667
Longitude,-48.3875
Codigo,948000
Qtd. Anos,51
Ano,Maxima
1969,81.4
1970,101.1
1971,60.2
1972,80.4
1973,107.2
1974,70.2
1975,193.2
1976,89.2
1977,120
1978,93.2
1979,105.4
1980,68.4
1981,76
1982,87
1983,112
1984,81
1985,67
1986,88
1987,62.3
1988,91
1989,130
1990,71
1991,77.9
1992,148
1993,107
1994,100
1995,105
1996,96
1997,81.4
1998,100.2
1999,61.5
2000,87
2001,88.7
2002,66.4
2003,126.3
2004,81.2
2005,118.7
2006,74.3
2007,81.2
2008,99
2009,85.8
2010,59.4
2011,113.7
2012,89.8
2013,134.5
2014,58.9
2015,95.5
2016,115.7
2017,100.5
2018,146.5
2019,73.3
