UF,TO
Cidade,NOVO ACORDO
Nome Posto,NOVO ACORDO
Latitude,-9.960555555555555
Longitude,-47.67472222222222
Codigo,1047001
Qtd. Anos,48
Ano,Maxima
1971,15.3
1972,92.2
1973,40
1974,70
1975,86
1976,128
1977,79.2
1978,90
1979,128.2
1980,86.6
1981,102.2
1982,33.6
1983,84
1984,79.6
1985,80.2
1986,67.8
1987,84.7
1988,85.7
1989,115.8
1990,89.8
1992,76.7
1993,49.6
1994,75
1995,100.6
1996,88
1997,84.2
1998,86.6
1999,62.8
2000,69.2
2001,77.8
2002,106.1
2003,150
2004,79.7
2005,137.2
2006,93.2
2007,68.1
2008,89.7
2009,113
2010,151.3
2011,54.8
2012,104.5
2013,119
2014,74.2
2015,107.5
2016,59.1
2017,66.8
2018,78.4
2019,63.1
